id,name,start_date,end_date,replaces,replaced_by
Q595285,Nubar Pasha,1878-08-28,1879-02-23,,
Q159378,Isma'il Pasha,1879-02-23,1879-03-10,,
Q374306,Tewfik Pasha,1879-03-10,1879-04-07,,
Q115486,Muhammad Sharif Pasha,1879-04-07,1879-08-18,,
Q374306,Tewfik Pasha,1879-08-18,1879-09-21,,
Q2706504,Riyad Pasha,1879-09-21,1881-09-10,,
Q115486,Muhammad Sharif Pasha,1881-09-14,1882-02-04,,
Q2528405,Mahmoud Sami el-Baroudi,1882-02-04,1882-05-26,,
Q2485397,Raghib Pasha,1882-06-18,1882-08-21,,
Q365919,Ahmed Orabi,1882-07-01,1882-09-13,,
Q115486,Muhammad Sharif Pasha,1882-08-21,1884-01-07,,
Q595285,Nubar Pasha,1884-01-10,1888-06-09,,
Q2706504,Riyad Pasha,1888-06-09,1891-05-12,,
Q403535,Mustafa Fahmi Pasha,1891-05-12,1893-01-15,,
Q4115896,Hussein Fahri Pasha,1893-01-15,1893-01-17,,
Q2706504,Riyad Pasha,1893-01-17,1894-04-16,,
Q595285,Nubar Pasha,1894-04-16,1895-11-12,,
Q403535,Mustafa Fahmi Pasha,1895-11-12,1908-11-12,,
Q262642,Boutros Ghali,1908-11-12,1910-02-21,,
Q3775896,Muhammad Said Pasha,1910-02-22,1914-04-05,,
Q1994270,Hussein Rushdi Pasha,1914-04-05,1914-12-19,,
Q1994270,Hussein Rushdi Pasha,1914-12-19,1919-04-12,,
Q3775896,Muhammad Said Pasha,1919-05-21,1919-11-19,,
Q2456929,Youssef Wahba,1919-11-19,1920-05-20,,
Q4115732,Muhammad Tawfiq Nasim Pasha,1920-05-20,1921-03-16,,
Q358528,Adli Yakan Pasha,1921-03-16,1922-03-01,,
Q4116115,Abdel Khaliq Sarwat Pasha,1922-03-01,1922-11-30,,
Q4115732,Muhammad Tawfiq Nasim Pasha,1922-11-30,1923-03-15,,
Q8046921,Yahya Ibrahim Pasha,1923-03-15,1924-01-26,,
Q328734,Saad Zaghloul,1924-01-26,1924-11-24,,
Q4115891,Ahmad Ziwar Pasha,1924-11-24,1926-06-07,,
Q358528,Adli Yakan Pasha,1926-06-07,1927-04-26,,
Q4116115,Abdel Khaliq Sarwat Pasha,1927-04-26,1928-03-16,,
Q403629,Mustafa el-Nahhas,1928-03-16,1928-06-27,,
Q3139180,Muhammad Mahmoud Pasha,1928-06-27,1929-10-04,,
Q358528,Adli Yakan Pasha,1929-10-04,1930-01-01,,
Q403629,Mustafa el-Nahhas,1930-01-01,1930-06-20,,
Q2456904,Isma'il Sidqi,1930-06-20,1933-09-22,,
Q4115897,Abdel Fattah Yahya Pasha,1933-09-22,1934-11-15,,
Q4115732,Muhammad Tawfiq Nasim Pasha,1934-11-15,1936-01-30,,
Q733972,Ali Mahir Pasha,1936-01-30,1936-05-09,,
Q403629,Mustafa el-Nahhas,1936-05-09,1937-12-29,,
Q3139180,Muhammad Mahmoud Pasha,1937-12-29,1939-08-18,,
Q733972,Ali Mahir Pasha,1939-08-18,1940-06-28,,
Q4115734,Hassan Sabry Pasha,1940-06-28,1940-11-15,,
Q4116118,Hussein Sirri Pasha,1940-11-15,1942-02-06,,
Q403629,Mustafa el-Nahhas,1942-02-06,1944-10-10,,
Q1572537,Ahmad Mahir Pasha,1944-10-10,1945-02-24,,
Q1391679,Mahmoud El Nokrashy Pasha,1945-02-26,1946-02-17,,
Q2456904,Isma'il Sidqi,1946-02-17,1946-12-09,,
Q1391679,Mahmoud El Nokrashy Pasha,1946-12-09,1948-12-28,,
Q4115731,Ibrahim Abdel Hadi Pasha,1948-12-28,1949-07-26,,
Q4116118,Hussein Sirri Pasha,1949-07-26,1950-01-12,,
Q403629,Mustafa el-Nahhas,1950-01-12,1952-01-27,,
Q733972,Ali Mahir Pasha,1952-01-27,1952-03-02,,
Q4116139,Ahmad Najib al-Hilali,1952-03-02,1952-07-02,,
Q4116118,Hussein Sirri Pasha,1952-07-02,1952-07-22,,
Q4116139,Ahmad Najib al-Hilali,1952-07-22,1952-07-23,,
Q733972,Ali Mahir Pasha,1952-07-23,1952-09-07,,
Q104392,Muhammad Naguib,1952-09-07,1953-06-18,,
Q104392,Muhammad Naguib,1953-06-18,1954-02-25,,
Q39524,Gamal Abdel Nasser,1954-02-25,1954-03-08,,
Q104392,Muhammad Naguib,1954-03-08,1954-04-18,,
Q39524,Gamal Abdel Nasser,1954-04-18,1958-02-22,,
Q39524,Gamal Abdel Nasser,1958-02-22,1962-09-29,,
Q446851,Ali Sabri,1962-09-29,1965-10-03,,
Q144615,Zakaria Mohieddin,1965-10-03,1966-09-10,,
Q983586,Mohamed Sedki Sulayman,1966-09-10,1967-06-19,,
Q39524,Gamal Abdel Nasser,1967-06-19,1970-09-28,,
Q699336,Mahmoud Fawzi,1970-10-21,1971-09-02,,
,Nureddin Tarraf (page does not exist),1958-10-07,1960-09-20,,
Q3380878,Kamal el-Din Hussein,1960-09-20,1961-08-16,,
Q699336,Mahmoud Fawzi,1971-09-02,1972-01-17,,
Q793859,Aziz Sedki,1972-01-17,1973-03-26,,
Q42013,Anwar Sadat,1973-03-26,1974-09-25,,
Q224359,Abd El Aziz Muhammad Hegazi,1974-09-25,1975-04-16,,
Q1391716,Mamdouh Salem,1975-04-16,1978-10-02,,
Q403740,Mustafa Khalil,1978-10-02,1980-05-15,,
Q42013,Anwar Sadat,1980-05-15,1981-10-06,,
Q34105,Hosni Mubarak,1981-10-07,1982-01-02,,
Q400643,Ahmad Fuad Mohieddin,1982-01-02,1984-06-05,,
Q1722834,Kamal Hassan Ali,1984-07-17,1985-09-04,,
Q1391705,Ali Lutfi Mahmud,1985-09-04,1986-11-09,,
Q755840,Atef Sedki,1986-11-10,1996-01-04,,
Q365922,Kamal Ganzouri,1996-01-04,1999-10-05,,
Q559232,Atef Ebeid,1999-10-05,2004-07-14,,
Q220296,Ahmed Nazif,2004-07-14,2011-01-28,,
Q294765,Ahmed Shafik,2011-01-29,2011-03-03,,
Q57680,Essam Sharaf,2011-03-03,2011-12-07,,
Q365922,Kamal Ganzouri,2011-12-07,2012-08-02,,
Q57728,Hesham Qandil,2012-08-02,2013-07-08,,
Q1592085,Hazem El Beblawi,2013-07-09,2014-03-01,,
Q15830552,Ibrahim Mahlab,2014-06-17,2015-09-19,,
Q16250142,Sherif Ismail,2015-09-19,2018-06-07,,
Q54901515,Moustafa Madbouly,2018-06-14,,,
